m,mean_acc,std_acc,max_acc,min_acc,median_acc,mean_recall,mean_f1-score,mean_time
0.50,0.9655975073313786,0.003298050901969237,0.9728739002932552,0.9571114369501467,0.9659090909090909,0.9588565226865878,0.9618160226429899,0.3363591119997
0.67,0.9658797653958945,0.0031917524012829834,0.9721407624633431,0.9552785923753666,0.9660923753665689,0.9586990669559592,0.9621168495757781,0.7842183649999788
1.00,0.9660593841642231,0.0033113552047890193,0.9743401759530792,0.9545454545454546,0.9659090909090909,0.958058734896766,0.9616773524418316,0.35207834600027127
1.50,0.9657551319648096,0.0031217298056894867,0.9732404692082112,0.9578445747800587,0.9659090909090909,0.9580127810349114,0.9613038012996832,0.781569333999978
2.00,0.9648350439882698,0.0030832150442891312,0.9710410557184751,0.9560117302052786,0.9648093841642229,0.956797614585749,0.9600196438787529,0.3185805579999942
2.50,0.9641129032258066,0.003021248454887322,0.9710410557184751,0.9560117302052786,0.9640762463343109,0.9559696458112965,0.959165563638906,0.7854116900001463
