test_size,mean_acc,std_acc,max_acc,min_acc,median_acc,mean_recall,mean_f1-score,mean_time
20.0,0.5712087912087912,0.014209267608473708,0.6062271062271062,0.5393772893772893,0.5728021978021978,0.6668883992991137,0.5545835157056854,0.006249414999838336
30.0,0.5716310323762981,0.012163632137513687,0.6157605375687233,0.5448992058643861,0.5708613317043372,0.6678186462241124,0.5549488762169572,0.006185459999323939
50.0,0.5736473607038124,0.012996726081030795,0.6059384164222874,0.5384897360703812,0.5747800586510264,0.6698471128517923,0.557131493844775,0.00597932599914202
70.0,0.579282722513089,0.025117416217869466,0.6589005235602095,0.5311518324607329,0.5730366492146597,0.6737338972244915,0.562695530387629,0.005831945000245468
80.0,0.5849461626575027,0.031510947703103295,0.6682703321878579,0.518213058419244,0.577205040091638,0.6777413573139309,0.5678775101375448,0.005748724999866681
