m,mean_acc,std_acc,max_acc,min_acc,median_acc,mean_recall,mean_f1-score,mean_time
0.50,0.9470148911798395,0.0045254344112466245,0.9599083619702177,0.931958762886598,0.9473081328751431,0.9397504319114885,0.9429804210173539,0.2205154739997306
0.67,0.9475441008018329,0.004619258365035506,0.9576174112256587,0.9331042382588774,0.947537227949599,0.9402140339237605,0.9432942266196581,0.5049399480001011
1.00,0.9475372279495988,0.004545791269104058,0.9562428407789233,0.934020618556701,0.9479954180985108,0.9392239761645129,0.9424556112594158,0.230118151000097
1.50,0.946208476517755,0.004690913956731357,0.954639175257732,0.9301260022909508,0.9467353951890034,0.9374387411068181,0.9407707565371787,0.5043578019997585
2.00,0.9446025200458189,0.004739189752999728,0.954639175257732,0.9269186712485682,0.9449026345933562,0.9352697018981867,0.9389218587216378,0.20908648600005109
2.50,0.9438075601374571,0.004660615961199361,0.9532646048109966,0.9269186712485682,0.9437571592210767,0.9342607531005424,0.9379987898617628,0.5041660929999853
