test_size %,Slight-Right-Turn_Precision,Sharp-Right-Turn_Precision,Move-Forward_Precision,Slight-Left-Turn_Precision,Slight-Right-Turn_Recall,Sharp-Right-Turn_Recall,Move-Forward_Recall,Slight-Left-Turn_Recall,Slight-Right-Turn_F1,Sharp-Right-Turn_F1,Move-Forward_F1,Slight-Left-Turn_F1,mean_time (s)
20.0,0.6866620378706653,0.8038988351860539,0.8830608343107541,0.732606529604671,0.7872121212121215,0.9560714285714285,0.6392743764172335,0.9257575757575744,0.7328652694019999,0.8733416727930232,0.74137389286439,0.8173324793290746,0.006340556999784894
30.0,0.6827252765176185,0.8047336899755599,0.8809656365803039,0.7292626436302142,0.7823387096774193,0.9549125596184416,0.639818731117824,0.9287755102040819,0.7284474021239804,0.8733656581105975,0.7409882231626024,0.8166895567705409,0.006263144999320502
50.0,0.6787927365819634,0.8033376276891577,0.8827892020044983,0.7301187096452769,0.7842615012106537,0.9542601823619735,0.6370169131209553,0.9268292682926835,0.7266639127513586,0.8722789239996663,0.7396691966047542,0.8165673187559563,0.006231024999651709
70.0,0.6684375623037545,0.8032309001136203,0.8839698145026286,0.7268415202857882,0.7856055363321803,0.9520640326975474,0.6330440414507773,0.9218260869565224,0.720682833595858,0.8712841998594366,0.7371270251593854,0.812592821716982,0.006148754000023473
80.0,0.6640050065895471,0.8021498334604328,0.8852406979873447,0.7244568339674936,0.7849470499243573,0.9526042908224075,0.6297845804988661,0.9142366412213738,0.7169368338354729,0.8708247110562871,0.7350292155184558,0.8080220828509991,0.006116420000107609
