m,mean_acc,std_acc,max_acc,min_acc,median_acc,mean_recall,mean_f1-score,mean_time
0.50,0.9708150183150182,0.004656221958884991,0.9816849816849816,0.9587912087912088,0.9706959706959707,0.9651742424242425,0.9678458070558189,0.21258715199979633
0.67,0.9714560439560439,0.004660542427433561,0.9826007326007326,0.956959706959707,0.9716117216117216,0.9653354978354978,0.9686877032663381,0.49605622999984916
1.00,0.9720054945054943,0.0047145699656157706,0.9816849816849816,0.9597069597069597,0.9720695970695971,0.9655900845186561,0.9688721377701464,0.22308502299973043
1.50,0.9723260073260072,0.0045669812005184095,0.9826007326007326,0.9597069597069597,0.9725274725274725,0.9661338641517213,0.9689620490292983,0.49835402199991224
2.00,0.9717948717948717,0.0046962935549296845,0.9826007326007326,0.9578754578754579,0.9725274725274725,0.96540589569161,0.9680430368701739,0.20184652800002367
2.50,0.9711996336996337,0.004773118312828906,0.9816849816849816,0.9578754578754579,0.9706959706959707,0.9645234230055658,0.9672513438354841,0.4982773980000638
