test_size %,Slight-Right-Turn_Precision,Sharp-Right-Turn_Precision,Move-Forward_Precision,Slight-Left-Turn_Precision,Slight-Right-Turn_Recall,Sharp-Right-Turn_Recall,Move-Forward_Recall,Slight-Left-Turn_Recall,Slight-Right-Turn_F1,Sharp-Right-Turn_F1,Move-Forward_F1,Slight-Left-Turn_F1,mean_time (s)
20.0,0.6755955425216607,0.7884788787233,0.9699169650880293,0.738350108820632,0.9196363636363636,0.9676190476190473,0.5871655328798187,0.9437878787878776,0.7787169368593793,0.8688415926288061,0.7312861173578271,0.8277196586656506,0.006603375000267988
30.0,0.6760173167962708,0.7895483706121995,0.9693092273526328,0.7350384723221495,0.9180241935483874,0.9672972972972973,0.5895166163142003,0.9470408163265305,0.7784812901922901,0.869370392270485,0.7329809951527773,0.8270431703567328,0.006558121000052779
50.0,0.6718961499859601,0.7900836739577686,0.9666328886151787,0.7407284793510718,0.9181355932203387,0.9655328138758104,0.5887249260801675,0.9456097560975604,0.7757755716944508,0.8689804468013456,0.731650101595839,0.8298755862614557,0.006478355999643099
70.0,0.6692428541974909,0.7902549235970876,0.9645185427674111,0.7331300649421706,0.9170588235294117,0.9622343324250682,0.5883419689119169,0.9436521739130447,0.7735715252760071,0.8677254911608453,0.7307279345726563,0.8241075968818705,0.006229754000014509
80.0,0.6676692220609429,0.7887569600405137,0.9625335795672894,0.732538310571891,0.9143721633888043,0.9603516090584027,0.5868083900226757,0.941984732824427,0.7713926089334628,0.865986958841303,0.7289399910852968,0.8227693870618883,0.006235816999615054
