test_size %,Slight-Right-Turn_Precision,Sharp-Right-Turn_Precision,Move-Forward_Precision,Slight-Left-Turn_Precision,Slight-Right-Turn_Recall,Sharp-Right-Turn_Recall,Move-Forward_Recall,Slight-Left-Turn_Recall,Slight-Right-Turn_F1,Sharp-Right-Turn_F1,Move-Forward_F1,Slight-Left-Turn_F1,mean_time (s)
20.0,0.4012723945830401,0.7473478177705073,0.6694252955165758,0.40090710410588715,0.5856363636363635,0.7535238095238096,0.4100000000000001,0.951969696969696,0.4758994561537513,0.7502506860553454,0.508290551763633,0.5638638746267709,0.0063924490001227244
30.0,0.4007012195428583,0.7488184059677863,0.6687580530880847,0.39798651080574493,0.5814919354838709,0.7529411764705882,0.412537764350453,0.9559183673469386,0.4742445270825537,0.7507562006425509,0.5100990355779159,0.5618433720728069,0.006221597000549081
50.0,0.3999422906663467,0.7509735738603538,0.6724991629375923,0.3981533809127233,0.5829297820823248,0.756452655746294,0.41158429493560705,0.9549390243902438,0.4741813446103515,0.753517737068363,0.5102894787822393,0.5619110660903863,0.006219882999794209
70.0,0.40831530899634993,0.7526046352089195,0.6775354070092342,0.39938486878814444,0.5901557093425605,0.7531880108991824,0.42185233160621777,0.9552608695652188,0.48223058824631465,0.7525552064092332,0.5193370576898322,0.563215265855859,0.006054497999793966
80.0,0.41313174741935926,0.7526078607702605,0.6829676502544159,0.39940064503735634,0.5909682299546142,0.7535518474374259,0.4277607709750566,0.9541221374045803,0.4855690024843763,0.7524465320219771,0.5248599443944443,0.5630189968881313,0.005977583999701892
