m,mean_acc,std_acc,max_acc,min_acc,median_acc,mean_recall,mean_f1-score,mean_time
0.50,0.9566570680628271,0.0033352583232132897,0.9633507853403142,0.9492146596858638,0.9568062827225131,0.94980395632831,0.9527290169340015,0.28426009100017835
0.67,0.9571649214659685,0.0033578653523094124,0.9630890052356021,0.9481675392670157,0.9575916230366492,0.9501130750828026,0.9531838085839606,0.6580931420000706
1.00,0.9574240837696335,0.0034247241503738476,0.9654450261780104,0.9473821989528796,0.9573298429319371,0.9493773209611092,0.9525485535017124,0.29721035099999427
1.50,0.9566806282722514,0.003320684497703944,0.9657068062827225,0.9473821989528796,0.956544502617801,0.9483309152655112,0.9514906893265487,0.6569419059999927
2.00,0.9552356020942409,0.003489245009139744,0.9633507853403142,0.9447643979057592,0.9554973821989529,0.9464322247384382,0.9497866499637035,0.2688587350000307
2.50,0.9544214659685863,0.00349236539421482,0.962565445026178,0.9429319371727749,0.9548429319371727,0.9454821334737484,0.9488866450579749,0.6570864690000598
