m,mean_acc,std_acc,max_acc,min_acc,median_acc,mean_recall,mean_f1-score,mean_time
0.50,0.9670800244349421,0.004080429544997158,0.9761759315821625,0.9535736102626756,0.967623701893708,0.9597423771020037,0.9634861728801013,0.27994804500007375
0.67,0.9660720830788027,0.004293897921096318,0.9743433109346366,0.9535736102626756,0.9664019547953574,0.9585385641852782,0.9622684168339419,0.6601591019999069
1.00,0.9655039706780696,0.004603454061059587,0.9755650580329872,0.9517409896151496,0.9657910812461821,0.9573959452969035,0.9612457432792897,0.2951448989999881
1.50,0.96459987782529,0.004877338517854606,0.9743433109346366,0.9468540012217471,0.9645693341478314,0.9571086613191966,0.9603875754984612,0.659179223000101
2.00,0.9635186316432497,0.004846410645103587,0.9731215638362859,0.9462431276725718,0.9639584605986561,0.9557002127328516,0.9590171311657106,0.26570564400006336
2.50,0.9628039095907147,0.004889961679508589,0.9731215638362859,0.9474648747709224,0.9633475870494808,0.9554343476341748,0.958521034830524,0.6544021810000049
